@relation 'Station 46001_X150.214.94.234.71.3.28.48_2.arff'

@attribute pres numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WDIR numeric

@data
96090,0.590244,0.57193,0.334879,0.342735,0.459667,?,0.078023,0.286432,0.092593,?,?,?,0.668524
96260,0.512195,0.445614,0.269017,0.677498,0.398207,?,0.109233,0.261307,0.101852,?,?,?,0.727019
96440,0.478049,0.477193,0.241187,0.622931,0.379001,?,0.148244,0.261307,0.092593,?,?,?,0.629526
96550,0.482927,0.42807,0.239332,0.269773,0.357234,?,0.172952,0.256281,0.092593,?,?,?,0.674095
96740,0.219512,0.217544,0.205937,0.532802,0.450704,?,0.202861,0.246231,0.092593,?,?,?,0.590529
96930,0.214634,0.235088,0.153989,0.389332,0.491677,?,0.219766,0.271357,0.092593,?,?,?,0.122563
96920,0.326829,0.298246,0.156772,0.494788,0.262484,?,0.215865,0.20603,0.083333,?,?,?,0.250696
96700,0.2,0.196491,0.144712,0.445126,0.355954,?,0.183355,0.296482,0.074074,?,?,?,0.685237
96700,0.419512,0.354386,0.179035,0.677498,0.421255,?,0.179454,0.251256,0.064815,?,?,?,0.473538
96370,0.37561,0.336842,0.190167,0.622931,0.422535,?,0.145644,0.296482,0.074074,?,?,?,0.573816
96170,0.268293,0.263158,0.19666,0.575107,0.412292,?,0.10013,0.276382,0.083333,?,?,?,0.760446
96230,0.42439,0.378947,0.149351,0.532802,0.314981,?,0.084525,0.336683,0.074074,?,?,?,0.835655
96710,0.687805,0.610526,0.309833,0.342735,0.390525,?,0.146944,0.336683,0.083333,?,?,?,0.816156
97270,0.736585,0.659649,0.367347,0.389332,0.402049,?,0.213264,0.120603,0.074074,?,?,?,0.707521
97860,0.702439,0.649123,0.524119,0.494788,0.583867,?,0.258778,0.105528,0.064815,?,?,?,0.70195
98680,0.907317,0.82807,0.62616,0.445126,0.681178,?,0.375813,0.045226,0.064815,?,?,?,0.743733
99240,0.84878,0.74386,0.61039,0.575107,0.678617,?,0.461638,0.035176,0.074074,?,?,?,0.752089
99580,0.868293,0.740351,0.554731,0.575107,0.59411,?,0.526658,0.140704,0.064815,?,?,?,0.729805
99670,0.678049,0.603509,0.386827,0.445126,0.459667,?,0.546164,0.155779,0.064815,?,?,?,0.732591
99890,0.687805,0.621053,0.337662,0.389332,0.398207,?,0.582575,0.110553,0.055556,?,?,?,0.721448
100370,0.643902,0.585965,0.392393,0.445126,0.473752,?,0.642393,0.060302,0.055556,?,?,?,0.763231
100680,0.356098,0.34386,0.305195,0.389332,0.472471,?,0.702211,0.035176,0.055556,?,?,?,0.78273
100650,0.273171,0.284211,0.234694,0.445126,0.444302,?,0.719116,0.140704,0.055556,?,?,?,0.64624
100250,0.297561,0.277193,0.187384,0.389332,0.380282,?,0.681404,0.19598,0.055556,?,?,?,0.479109
99420,0.434146,0.378947,0.137291,0.342735,0.294494,?,0.615085,0.326633,0.055556,?,?,?,0.211699
98480,0.463415,0.392982,0.16141,0.240956,0.21895,?,0.520156,0.472362,0.055556,?,?,?,0.256267
98000,0.604878,0.540351,0.218924,0.269773,0.263764,?,0.447334,0.467337,0.055556,?,?,?,0.13649
97930,0.57561,0.487719,0.284787,0.389332,0.37644,?,0.404421,0.487437,0.055556,?,?,?,0.125348
98060,0.517073,0.424561,0.245826,0.389332,0.340589,?,0.412224,0.457286,0.055556,?,?,?,0.064067
98430,0.243902,0.214035,0.235622,0.445126,0.441741,?,0.436931,0.437186,0.055556,?,?,?,0.988858
98680,0.073171,0.080702,0.269944,0.445126,0.549296,?,0.449935,0.447236,0.055556,?,?,?,0.779944
98330,0.229268,0.207018,0.279221,0.532802,0.674776,?,0.407022,0.452261,0.055556,?,?,?,0.445682
97500,0.44878,0.378947,0.235622,0.575107,0.507042,?,0.335501,0.462312,0.055556,?,?,?,0.384401
97400,0.419512,0.354386,0.229128,0.532802,0.417414,?,0.282185,0.452261,0.055556,?,?,?,0.364903
97330,0.180488,0.154386,0.217996,0.494788,0.523688,?,0.254876,0.487437,0.055556,?,?,?,0.520891
97350,0.453659,0.403509,0.305195,0.494788,0.46863,?,0.250975,0.487437,0.055556,?,?,?,0.662953
97530,0.346341,0.294737,0.301484,0.445126,0.587708,?,0.26658,0.482412,0.055556,?,?,?,0.660167
97790,0.326829,0.287719,0.269944,0.532802,0.590269,?,0.315995,0.477387,0.055556,?,?,?,0.930362
98440,0.44878,0.385965,0.2718,0.677498,0.513444,?,0.395319,0.477387,0.064815,?,?,?,0.938719
98710,0.043902,0.066667,0.276438,0.575107,0.629962,?,0.453836,0.457286,0.064815,?,?,?,0.78273
98200,0.439024,0.37193,0.249536,0.622931,0.582586,?,0.414824,0.417085,0.064815,?,?,?,0.350975
96660,0.795122,0.691228,0.316327,0.622931,0.364917,?,0.249675,0.452261,0.064815,?,?,?,0.306407
95290,0.8,0.757895,0.599258,0.494788,0.606914,?,0.009103,0.562814,0.055556,?,?,?,0.359331
95880,0.619512,0.554386,0.627087,0.575107,0.728553,?,0.06502,0.562814,0.064815,?,?,?,0.45961
96680,0.595122,0.564912,0.469388,0.532802,0.581306,?,0.140442,0.527638,0.064815,?,?,?,0.56546
97570,0.692683,0.621053,0.634508,0.575107,0.704225,?,0.249675,0.532663,0.074074,?,?,?,0.487465
97960,0.614634,0.550877,0.634508,0.622931,0.740077,?,0.326398,0.512563,0.064815,?,?,?,0.498607
97920,0.4,0.396491,0.451763,0.575107,0.631242,?,0.373212,0.492462,0.064815,?,?,?,0.545961
97320,0.156098,0.178947,0.398887,0.494788,0.696543,?,0.328999,0.452261,0.055556,?,?,?,0.977716
97120,0.62439,0.540351,0.356215,0.677498,0.56338,?,0.218466,0.467337,0.055556,?,?,?,0.877437
98650,0.595122,0.526316,0.45269,0.494788,0.545455,?,0.369311,0.311558,0.055556,?,?,?,0.788301
99780,0.604878,0.554386,0.423006,0.575107,0.59411,?,0.539662,0.311558,0.055556,?,?,?,0.740947
100390,0.434146,0.396491,0.487941,0.494788,0.617157,?,0.6658,0.356784,0.055556,?,?,?,0.721448
100570,0.185366,0.196491,0.299629,0.445126,0.603073,?,0.721717,0.371859,0.046296,?,?,?,0.437326
