@relation 'Station 46001_2.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
251,99770,?,?,?,?,?,?,?,?,?,?,?,?,?
248,99860,?,?,?,?,?,?,?,?,?,?,?,?,?
246,99760,?,?,?,?,?,?,?,?,?,?,?,?,?
244,99290,?,?,?,?,?,?,?,?,?,?,?,?,?
243,98840,?,?,?,?,?,?,?,?,?,?,?,?,?
242,98600,?,?,?,?,?,?,?,?,?,?,?,?,?
241,98340,?,?,?,?,?,?,?,?,?,?,?,?,?
239,96380,?,?,?,?,?,?,?,?,?,?,?,?,?
235,90100,?,?,?,?,?,?,?,?,?,?,?,?,?
237,88500,?,?,?,?,?,?,?,?,?,?,?,?,?
244,87600,?,?,?,?,?,?,?,?,?,?,?,?,?
249,92390,?,?,?,?,?,?,?,?,?,?,?,?,?
249,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
251,88430,?,?,?,?,?,?,?,?,?,?,?,?,?
253,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
249,47370,?,?,?,?,?,?,?,?,?,?,?,?,?
250,48450,?,?,?,?,?,?,?,?,?,?,?,?,?
255,97010,?,?,?,?,?,?,?,?,?,?,?,?,?
250,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
250,97270,?,?,?,?,?,?,?,?,?,?,?,?,?
250,97470,?,?,?,?,?,?,?,?,?,?,?,?,?
249,97790,?,?,?,?,?,?,?,?,?,?,?,?,?
249,98000,?,?,?,?,?,?,?,?,?,?,?,?,?
250,98240,?,?,?,?,?,?,?,?,?,?,?,?,?
251,98500,?,?,?,?,?,?,?,?,?,?,?,?,?
252,98680,?,?,?,?,?,?,?,?,?,?,?,?,?
252,98760,?,?,?,?,?,?,?,?,?,?,?,?,?
251,98570,?,?,?,?,?,?,?,?,?,?,?,?,?
247,98180,?,?,?,?,?,?,?,?,?,?,?,?,?
245,95360,?,?,?,?,?,?,?,?,?,?,?,?,?
243,92640,?,?,?,?,?,?,?,?,?,?,?,?,?
243,88680,?,?,?,?,?,?,?,?,?,?,?,?,?
239,87350,?,?,?,?,?,?,?,?,?,?,?,?,?
239,87270,?,?,?,?,?,?,?,?,?,?,?,?,?
238,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244,87390,?,?,?,?,?,?,?,?,?,?,?,?,?
260,91220,?,?,?,?,?,?,?,?,?,?,?,?,?
255,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
247,48570,?,?,?,?,?,?,?,?,?,?,?,?,?
245,92540,?,?,?,?,?,?,?,?,?,?,?,?,?
245,88970,?,?,?,?,?,?,?,?,?,?,?,?,?
245,90150,?,?,?,?,?,?,?,?,?,?,?,?,?
247,91520,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91990,?,?,?,?,?,?,?,?,?,?,?,?,?
244,94820,?,?,?,?,?,?,?,?,?,?,?,?,?
242,95930,?,?,?,?,?,?,?,?,?,?,?,?,?
244,94320,?,?,?,?,?,?,?,?,?,?,?,?,?
243,92840,?,?,?,?,?,?,?,?,?,?,?,?,?
241,94620,?,?,?,?,?,?,?,?,?,?,?,?,?
246,93210,?,?,?,?,?,?,?,?,?,?,?,?,?
247,90640,?,?,?,?,?,?,?,?,?,?,?,?,?
