@relation 'Station 46001_X150.214.94.234.71.3.2_1.arff'

@attribute air numeric
@attribute pres numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WDIR numeric

@data
272.855434,97118.609906,12.1,16.3,3.97,8.33,6.91,?,966.7,-0.9,3.6,?,?,?,240
272.039003,97305.72197,10.5,12.7,3.26,13.79,6.43,?,969.1,-1.4,3.7,?,?,?,261
271.559256,97623.195422,9.8,13.6,2.96,12.9,6.28,?,972.1,-1.4,3.6,?,?,?,226
271.079408,97809.553615,9.9,12.2,2.94,7.14,6.11,?,974,-1.5,3.6,?,?,?,242
270.913912,97998.766148,4.5,6.2,2.58,11.43,6.84,?,976.3,-1.7,3.6,?,?,?,212
269.14243,98252.949413,4.4,6.7,2.02,9.09,7.16,?,977.6,-1.2,3.6,?,?,?,44
271.171463,98298.461787,6.7,8.5,2.05,10.81,5.37,?,977.3,-2.5,3.5,?,?,?,90
271.678196,98051.30344,4.1,5.6,1.92,10,6.1,?,974.8,-0.7,3.4,?,?,?,246
272.261708,97989.75619,8.6,10.1,2.29,13.79,6.61,?,974.5,-1.6,3.3,?,?,?,170
272.162821,97705.222281,7.7,9.6,2.41,12.9,6.62,?,971.9,-0.7,3.4,?,?,?,206
273.068814,97452.548196,5.5,7.5,2.48,12.12,6.54,?,968.4,-1.1,3.5,?,?,?,273
273.597953,97408.778159,8.7,10.8,1.97,11.43,5.78,?,967.2,0.1,3.4,?,?,?,300
272.035833,97723.954143,14.1,17.4,3.7,8.33,6.37,?,972,0.1,3.5,?,?,?,293
270.227322,98217.912649,15.1,18.8,4.32,9.09,6.46,?,977.1,-4.2,3.4,?,?,?,254
269.443474,98833.681883,14.4,18.5,6.01,10.81,7.88,?,980.6,-4.5,3.3,?,?,?,252
268.58044,99603.21784,18.6,23.6,7.11,10,8.64,?,989.6,-5.7,3.3,?,?,?,267
267.612779,100188.791195,17.4,21.2,6.94,12.12,8.62,?,996.2,-5.9,3.4,?,?,?,270
268.537104,100574.48738,17.8,21.1,6.34,12.12,7.96,?,1001.2,-3.8,3.3,?,?,?,262
268.679869,100816.197105,13.9,17.2,4.53,10,6.91,?,1002.7,-3.5,3.3,?,?,?,263
268.077657,101116.073057,14.1,17.7,4,9.09,6.43,?,1005.5,-4.4,3.2,?,?,?,259
267.278642,101551.924365,13.2,16.7,4.59,10,7.02,?,1010.1,-5.4,3.2,?,?,?,274
266.994383,101896.604641,7.3,9.8,3.65,9.09,7.01,?,1014.7,-5.9,3.2,?,?,?,281
268.291019,101945.534748,5.6,8.1,2.89,10,6.79,?,1016,-3.8,3.2,?,?,?,232
270.058474,101678.611894,6.1,7.9,2.38,9.09,6.29,?,1013.1,-2.7,3.2,?,?,?,172
272.413258,101150.804185,8.9,10.8,1.84,8.33,5.62,?,1008,-0.1,3.2,?,?,?,76
274.490643,100431.032201,9.5,11.2,2.1,6.67,5.03,?,1000.7,2.8,3.2,?,?,?,92
275.52624,99884.621975,12.4,15.4,2.72,7.14,5.38,?,995.1,2.7,3.2,?,?,?,49
275.647479,99731.343122,11.8,13.9,3.43,9.09,6.26,?,991.8,3.1,3.2,?,?,?,45
275.748544,99718.17937,10.6,12.1,3.01,9.09,5.98,?,992.4,2.5,3.2,?,?,?,23
274.90634,99878.646091,5,6.1,2.9,10,6.77,?,994.3,2.1,3.2,?,?,?,355
274.531655,99927.267026,1.5,2.3,3.27,10,7.61,?,995.3,2.3,3.2,?,?,?,280
274.729316,99570.617159,4.7,5.9,3.37,11.43,8.59,?,992,2.4,3.2,?,?,?,160
276.07976,98931.842319,9.2,10.8,2.9,12.12,7.28,?,986.5,2.6,3.2,?,?,?,138
276.090445,98737.40892,8.6,10.1,2.83,11.43,6.58,?,982.4,2.4,3.2,?,?,?,131
277.112423,98620.168441,3.7,4.4,2.71,10.81,7.41,?,980.3,3.1,3.2,?,?,?,187
276.398088,98617.572014,9.3,11.5,3.65,10.81,6.98,?,980,3.1,3.2,?,?,?,238
276.877493,98817.275732,7.1,8.4,3.61,10,7.91,?,981.2,3,3.2,?,?,?,237
276.018108,99152.28551,6.7,8.2,3.27,11.43,7.93,?,985,2.9,3.2,?,?,?,334
275.85743,99713.63753,9.2,11,3.29,13.79,7.33,?,991.1,2.9,3.3,?,?,?,337
275.916769,99918.130006,0.9,1.9,3.34,12.12,8.24,?,995.6,2.5,3.3,?,?,?,281
275.524765,99478.446839,9,10.6,3.05,12.9,7.87,?,992.6,1.7,3.3,?,?,?,126
275.995588,98289.30256,16.3,19.7,3.77,12.9,6.17,?,979.9,2.4,3.3,?,?,?,110
276.930904,96588.53301,16.4,21.6,6.82,10.81,8.06,?,961.4,4.6,3.2,?,?,?,129
276.815865,96843.498555,12.7,15.8,7.12,12.12,9.01,?,965.7,4.6,3.3,?,?,?,165
276.418341,97584.593339,12.2,16.1,5.42,11.43,7.86,?,971.5,3.9,3.3,?,?,?,203
276.40387,98433.185838,14.2,17.7,7.2,12.12,8.82,?,979.9,4,3.4,?,?,?,175
275.809627,99002.634223,12.6,15.7,7.2,12.9,9.1,?,985.8,3.6,3.3,?,?,?,179
275.253426,99284.861086,8.2,11.3,5.23,12.12,8.25,?,989.4,3.2,3.3,?,?,?,196
275.353644,98980.04446,3.2,5.1,4.66,10.81,8.76,?,986,2.4,3.2,?,?,?,351
273.749737,98483.883007,12.8,15.4,4.2,13.79,7.72,?,977.5,2.7,3.2,?,?,?,315
272.586931,99386.868536,12.2,15,5.24,10.81,7.58,?,989.1,-0.4,3.2,?,?,?,283
272.579789,100754.155414,12.4,15.8,4.92,12.12,7.96,?,1002.2,-0.4,3.2,?,?,?,266
272.094345,101566.751492,8.9,11.3,5.62,10.81,8.14,?,1011.9,0.5,3.2,?,?,?,259
272.171559,101939.605541,3.8,5.6,3.59,10,8.03,?,1016.2,0.8,3.1,?,?,?,157
274.67842,101927.464894,11,13.1,2.58,12.12,6.37,?,1015.6,1.6,3.1,?,?,?,89
276.30262,101460.961645,13,15.8,3.56,6.67,6.31,?,1010.5,3.4,3.2,?,?,?,76
277.339175,100849.627512,14.6,18.3,3.97,10,6.7,?,1004.8,4.5,3.2,?,?,?,98
278.018052,100643.374061,11.9,15.6,5.43,12.9,8,?,1001.7,4.3,3.2,?,?,?,108
276.961741,100620.857234,9,11.7,4.33,12.12,7.85,?,1002.5,4,3.2,?,?,?,143
