@relation ns.arff

@attribute DATE numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric

@data
1326171000,141,15.5,19.2,3.67,7.69,5.96,?,1017.2,2.2,3.8,?,?,?
1326174600,151,16.5,20.7,3.69,7.69,6.01,?,1015.8,2,3.8,?,?,?
1326178200,144,17,22.4,4.4,8.33,6.59,?,1013.6,2.2,3.8,?,?,?
1326181800,144,17,22.3,5,9.09,7.01,?,1011.9,2.4,3.8,?,?,?
1326185400,145,17.9,23.5,5.26,9.09,7.09,?,1010.4,2.5,3.8,?,?,?
1326189000,141,18.7,23,5.72,9.09,7.53,?,1007.5,2.6,3.8,?,?,?
1326192600,145,18.3,23.3,5.97,10,7.79,?,1005.4,2.3,3.8,?,?,?
1326196200,146,18.4,24.5,6.91,10.81,8.36,?,1003,2.7,3.8,?,?,?
1326199800,159,18.5,23.6,7.22,11.43,8.47,?,1001.4,3.7,3.8,?,?,?
1326203400,164,18.7,23.7,7.24,12.12,8.43,?,999.9,4.2,3.9,?,?,?
1326207000,161,18,22.4,8.96,12.12,9.5,?,998.8,4.4,3.9,?,?,?
1326210600,164,16.4,20.1,8.45,12.9,9.55,?,997.9,4.8,3.9,?,?,?
1326214200,163,16,19,8.49,12.9,9.67,?,997.1,5.1,4,?,?,?
1326217800,170,14.2,17.5,7.15,12.9,8.97,?,997,5.2,4,?,?,?
1326221400,181,13.1,16.1,6.95,12.9,8.99,?,997.4,5.3,4,?,?,?
1326225000,194,11.8,14.6,7.33,12.9,9.09,?,998.2,5.4,4,?,?,?
1326228600,209,9.3,13.2,7.26,13.79,9.64,?,999.4,5.2,4,?,?,?
1326232200,214,9.4,12.4,7.16,14.81,9.47,?,1000.6,5.2,4,?,?,?
1326235800,206,7.8,9.9,7.62,13.79,9.9,?,1001.4,5.4,4,?,?,?
1326239400,198,8.7,11.5,6.49,11.43,9.15,?,1001.6,5.1,4,?,?,?
1326243000,190,8.2,11.4,7.28,13.79,9.62,?,1002.5,4.9,4,?,?,?
1326246600,190,9.9,13.2,6.71,13.79,9.32,?,1003,4.8,4,?,?,?
1326250200,182,9.7,12.1,7.1,13.79,9.37,?,1003.3,4.9,4,?,?,?
1326253800,187,8.8,11.2,6.83,12.12,9.35,?,1003.4,4.7,4,?,?,?
1326257400,185,7.9,9.9,5.71,12.9,8.6,?,1003.2,4.6,4,?,?,?
1326261000,178,7.7,10.3,6.38,12.9,9.19,?,1003.1,4.7,3.9,?,?,?
1326264600,190,8.1,10.6,5.92,13.79,9.44,?,1003,4.7,3.9,?,?,?
1326268200,196,8.7,11.1,5.45,12.12,8.63,?,1003,4.5,3.9,?,?,?
1326271800,180,6.3,8.4,5.18,13.79,8.69,?,1003,4.5,3.9,?,?,?
1326279000,183,8.7,11.4,5.02,12.9,8.88,?,1002.8,4.8,3.9,?,?,?
1326282600,180,7.8,10.1,4.8,13.79,8.82,?,1002.6,4.7,3.9,?,?,?
1326286200,177,8.5,11.1,5.34,12.12,9.44,?,1002.1,4.8,3.9,?,?,?
1326293400,180,9.8,12.1,5.12,13.79,8.7,?,1000.9,4.9,3.9,?,?,?
1326297000,178,10.2,13,5.26,13.79,8.75,?,1000.9,4.9,3.9,?,?,?
1326300600,185,10.8,13.8,5.29,11.43,8.69,?,1001,5,4,?,?,?
1326304200,183,11.3,13.2,5.08,13.79,8.43,?,1001.2,5,4,?,?,?
1326307800,185,11.7,14.2,5.28,12.9,7.95,?,1001.5,5.1,4,?,?,?
1326311400,186,10.5,12.9,5.23,13.79,8.33,?,1001.5,5.1,4,?,?,?
1326315000,191,11,14.7,5.42,12.9,8.47,?,1001.6,4.9,4,?,?,?
1326318600,186,11,13.4,5.1,13.79,8.51,?,1001.3,4.9,4,?,?,?
1326322200,190,10,12.2,4.6,12.9,8.04,?,1001,4.8,4,?,?,?
1326325800,189,9,11.3,4.68,12.9,8.52,?,1000.5,4.8,4,?,?,?
1326329400,194,10.9,13,4.58,13.79,8.56,?,1000.2,4.5,4,?,?,?
1326333000,202,9.1,11.4,4.48,12.12,8.37,?,1000.3,4.3,4,?,?,?
