#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 05 07 50 999 99.0 99.0  2.88 10.81  7.76 999 1017.9 999.0   6.6 999.0 99.0 99.00
2015 01 05 08 50 999 99.0 99.0  2.81 10.00  7.67 999 1017.8 999.0   6.6 999.0 99.0 99.00
2015 01 05 09 50 999 99.0 99.0  2.64 10.81  7.48 999 1017.1 999.0   6.6 999.0 99.0 99.00
2015 01 05 10 50 999 99.0 99.0  2.71 10.81  7.44 999 1016.4 999.0   6.6 999.0 99.0 99.00
2015 01 05 11 50 999 99.0 99.0  3.06 10.81  7.52 999 1016.0 999.0   6.5 999.0 99.0 99.00
2015 01 05 12 50 999 99.0 99.0  2.53 10.81  6.77 999 1015.4 999.0   6.5 999.0 99.0 99.00
2015 01 05 13 50 999 99.0 99.0  2.87 10.81  6.78 999 1014.2 999.0   6.5 999.0 99.0 99.00
2015 01 05 14 50 999 99.0 99.0  3.05 10.00  6.72 999 1013.5 999.0   6.4 999.0 99.0 99.00
2015 01 05 15 50 999 99.0 99.0  2.92 11.43  6.57 999 1012.6 999.0   6.5 999.0 99.0 99.00
2015 01 05 16 50 999 99.0 99.0  2.55 10.00  5.63 999 1011.5 999.0   6.5 999.0 99.0 99.00
2015 01 05 17 50 999 99.0 99.0  2.70  9.09  5.77 999 1011.1 999.0   6.5 999.0 99.0 99.00
2015 01 05 18 50 999 99.0 99.0  2.67 10.00  5.69 999 1010.9 999.0   6.6 999.0 99.0 99.00
2015 01 05 19 50 999 99.0 99.0  2.80 10.81  5.71 999 1010.4 999.0   6.6 999.0 99.0 99.00
2015 01 05 20 50 999 99.0 99.0  2.70 10.00  5.34 999 1009.8 999.0   6.5 999.0 99.0 99.00
2015 01 05 21 50 999 99.0 99.0  2.89 10.00  5.85 999 1008.9 999.0   6.4 999.0 99.0 99.00
2015 01 05 22 50 999 99.0 99.0 99.00 99.00 99.00 999 1007.8 999.0   6.4 999.0 99.0 99.00
2015 01 05 23 50 999 99.0 99.0  2.90  7.69  5.77 999 1007.2 999.0   6.4 999.0 99.0 99.00
2015 01 06 00 50 999 99.0 99.0  3.04  7.14  5.95 999 1006.5 999.0   6.4 999.0 99.0 99.00
2015 01 06 01 50 999 99.0 99.0  3.46  8.33  6.32 999 1006.2 999.0   6.4 999.0 99.0 99.00
2015 01 06 02 50 999 99.0 99.0  3.54 10.00  6.39 999 1005.8 999.0   6.5 999.0 99.0 99.00
2015 01 06 03 50 999 99.0 99.0  3.51  8.33  6.30 999 1005.8 999.0   6.5 999.0 99.0 99.00
2015 01 06 04 50 999 99.0 99.0  3.46  9.09  6.07 999 1005.9 999.0   6.5 999.0 99.0 99.00
2015 01 06 05 50 999 99.0 99.0  3.44  9.09  5.97 999 1005.9 999.0   6.5 999.0 99.0 99.00
2015 01 06 06 50 999 99.0 99.0  3.92  9.09  6.20 999 1005.9 999.0   6.5 999.0 99.0 99.00
2015 01 06 07 50 999 99.0 99.0  3.76  8.33  6.17 999 1005.9 999.0   6.5 999.0 99.0 99.00
2015 01 06 08 50 999 99.0 99.0  3.82  9.09  6.22 999 1005.7 999.0   6.5 999.0 99.0 99.00
2015 01 06 09 50 999 99.0 99.0  3.66  9.09  6.55 999 1005.7 999.0   6.5 999.0 99.0 99.00
2015 01 06 10 50 999 99.0 99.0  3.61  8.33  6.20 999 1005.6 999.0   6.5 999.0 99.0 99.00
2015 01 06 11 50 999 99.0 99.0 99.00 99.00 99.00 999 1005.6 999.0   6.5 999.0 99.0 99.00
2015 01 06 12 50 999 99.0 99.0  3.89 10.00  6.68 999 1005.8 999.0   6.5 999.0 99.0 99.00
2015 01 06 13 50 999 99.0 99.0  4.17 10.00  7.06 999 1005.8 999.0   6.5 999.0 99.0 99.00
2015 01 06 14 50 999 99.0 99.0  4.17 10.00  7.01 999 1005.6 999.0   6.5 999.0 99.0 99.00
2015 01 06 15 50 999 99.0 99.0  3.97 10.00  6.76 999 1005.5 999.0   6.5 999.0 99.0 99.00
2015 01 06 16 50 999 99.0 99.0  4.01 10.00  6.56 999 1006.0 999.0   6.5 999.0 99.0 99.00
2015 01 06 17 50 999 99.0 99.0 99.00 99.00 99.00 999 1006.4 999.0   6.5 999.0 99.0 99.00
2015 01 06 18 50 999 99.0 99.0  3.59 10.00  6.41 999 1006.5 999.0   6.5 999.0 99.0 99.00
2015 01 06 19 50 999 99.0 99.0  3.64 10.00  6.57 999 1006.8 999.0   6.5 999.0 99.0 99.00
2015 01 06 20 50 999 99.0 99.0 99.00 99.00 99.00 999 1006.7 999.0   6.6 999.0 99.0 99.00
2015 01 06 21 50 999 99.0 99.0  3.42 10.81  6.65 999 1006.7 999.0   6.7 999.0 99.0 99.00
2015 01 06 22 50 999 99.0 99.0  3.34 10.00  6.91 999 1006.4 999.0   6.7 999.0 99.0 99.00
2015 01 06 23 50 999 99.0 99.0  3.51 10.00  7.27 999 1006.8 999.0   6.7 999.0 99.0 99.00
2015 01 07 00 50 999 99.0 99.0  3.61 10.81  7.78 999 1007.1 999.0   6.7 999.0 99.0 99.00
2015 01 07 01 50 999 99.0 99.0  3.71 10.81  7.44 999 1007.3 999.0   6.7 999.0 99.0 99.00
2015 01 07 02 50 999 99.0 99.0  3.59 10.81  7.27 999 1007.6 999.0   6.7 999.0 99.0 99.00
2015 01 07 03 50 999 99.0 99.0  3.47 10.00  7.11 999 1007.7 999.0   6.7 999.0 99.0 99.00
2015 01 07 04 50 999 99.0 99.0  3.69 10.00  7.34 999 1007.8 999.0   6.7 999.0 99.0 99.00
2015 01 07 05 50 999 99.0 99.0  3.73  9.09  7.36 999 1008.1 999.0   6.7 999.0 99.0 99.00
2015 01 07 06 50 999 99.0 99.0  3.42 10.00  7.34 999 1008.3 999.0   6.7 999.0 99.0 99.00
2015 01 07 07 50 999 99.0 99.0  3.39 10.00  7.39 999 1008.7 999.0   6.8 999.0 99.0 99.00
2015 01 07 08 50 999 99.0 99.0  3.04 12.90  7.15 999 1009.1 999.0   6.8 999.0 99.0 99.00
2015 01 07 09 50 999 99.0 99.0  2.72 12.12  6.40 999 1009.3 999.0   6.8 999.0 99.0 99.00
2015 01 07 10 50 999 99.0 99.0  3.01 12.12  6.77 999 1009.5 999.0   6.8 999.0 99.0 99.00
2015 01 07 11 50 999 99.0 99.0 99.00 99.00 99.00 999 1010.0 999.0   6.7 999.0 99.0 99.00
2015 01 07 12 50 999 99.0 99.0  3.42 12.12  7.21 999 1010.2 999.0   6.8 999.0 99.0 99.00
2015 01 07 13 50 999 99.0 99.0  3.44 10.00  7.09 999 1010.3 999.0   6.8 999.0 99.0 99.00
2015 01 07 14 50 999 99.0 99.0  3.45 10.00  6.75 999 1010.5 999.0   6.7 999.0 99.0 99.00
2015 01 07 15 50 999 99.0 99.0  3.27 10.00  6.59 999 1011.2 999.0   6.7 999.0 99.0 99.00
2015 01 07 16 50 999 99.0 99.0  3.05 10.00  6.48 999 1011.5 999.0   6.7 999.0 99.0 99.00
2015 01 07 17 50 999 99.0 99.0  3.35 11.43  6.66 999 1011.5 999.0   6.7 999.0 99.0 99.00
2015 01 07 18 50 999 99.0 99.0  3.16 10.00  6.53 999 1012.2 999.0   6.8 999.0 99.0 99.00
2015 01 07 19 50 999 99.0 99.0  2.74 10.00  5.91 999 1012.0 999.0   6.8 999.0 99.0 99.00
2015 01 07 20 50 999 99.0 99.0  3.22 10.00  6.38 999 1011.5 999.0   6.8 999.0 99.0 99.00
2015 01 07 21 50 999 99.0 99.0  3.33  9.09  6.32 999 1011.0 999.0   6.8 999.0 99.0 99.00
2015 01 07 22 50 999 99.0 99.0  3.42 10.81  6.43 999 1010.4 999.0   6.8 999.0 99.0 99.00
2015 01 07 23 50 999 99.0 99.0  3.47 10.00  6.30 999 1009.4 999.0   6.8 999.0 99.0 99.00
2015 01 08 00 50 999 99.0 99.0  3.36 10.00  6.39 999 1008.4 999.0   6.6 999.0 99.0 99.00
2015 01 08 01 50 999 99.0 99.0  3.90 12.12  6.65 999 1007.5 999.0   6.6 999.0 99.0 99.00
2015 01 08 02 50 999 99.0 99.0  3.85 11.43  6.40 999 1006.7 999.0   6.6 999.0 99.0 99.00
2015 01 08 03 50 999 99.0 99.0 99.00 99.00 99.00 999 1005.3 999.0   6.6 999.0 99.0 99.00
2015 01 08 04 50 999 99.0 99.0  3.74 10.00  6.26 999 1004.4 999.0   6.6 999.0 99.0 99.00
2015 01 08 05 50 999 99.0 99.0  4.05  7.69  6.49 999 1002.7 999.0   6.6 999.0 99.0 99.00
2015 01 08 06 50 999 99.0 99.0  3.91 11.43  6.29 999 1002.0 999.0   6.6 999.0 99.0 99.00
2015 01 08 07 50 999 99.0 99.0 99.00 99.00 99.00 999 1001.6 999.0   6.6 999.0 99.0 99.00
2015 01 08 08 50 999 99.0 99.0  3.88  8.33  6.32 999 1001.2 999.0   6.6 999.0 99.0 99.00
2015 01 08 09 50 999 99.0 99.0  3.67 10.00  6.26 999 1000.7 999.0   6.6 999.0 99.0 99.00
2015 01 08 10 50 999 99.0 99.0  3.98  8.33  6.38 999 1000.8 999.0   6.6 999.0 99.0 99.00
2015 01 08 11 50 999 99.0 99.0  3.69  9.09  6.27 999 1001.5 999.0   6.6 999.0 99.0 99.00
2015 01 08 12 50 999 99.0 99.0  3.91  8.33  6.73 999 1002.3 999.0   6.6 999.0 99.0 99.00
2015 01 08 13 50 999 99.0 99.0  3.88  8.33  6.72 999 1002.9 999.0   6.6 999.0 99.0 99.00
2015 01 08 14 50 999 99.0 99.0  3.81  8.33  6.85 999 1003.0 999.0   6.5 999.0 99.0 99.00
2015 01 08 15 50 999 99.0 99.0  3.83 11.43  7.11 999 1002.7 999.0   6.6 999.0 99.0 99.00
2015 01 08 16 50 999 99.0 99.0  4.45  9.09  7.36 999 1003.2 999.0   6.6 999.0 99.0 99.00
2015 01 08 17 50 999 99.0 99.0 99.00 99.00 99.00 999 1003.6 999.0   6.6 999.0 99.0 99.00
2015 01 08 19 50 999 99.0 99.0  3.91 10.81  7.42 999 1004.0 999.0   6.6 999.0 99.0 99.00
2015 01 08 20 50 999 99.0 99.0  3.93 10.81  7.38 999 1004.4 999.0   6.6 999.0 99.0 99.00
2015 01 08 21 50 999 99.0 99.0  3.63 11.43  7.10 999 1004.3 999.0   6.6 999.0 99.0 99.00
2015 01 08 22 50 999 99.0 99.0  3.79 10.81  7.20 999 1004.7 999.0   6.8 999.0 99.0 99.00
2015 01 08 23 50 999 99.0 99.0  3.48 10.81  6.82 999 1004.6 999.0   6.8 999.0 99.0 99.00
2015 01 09 00 50 999 99.0 99.0  3.58  9.09  7.12 999 1004.5 999.0   6.7 999.0 99.0 99.00
2015 01 09 01 50 999 99.0 99.0  3.68 10.81  7.51 999 1005.0 999.0   6.6 999.0 99.0 99.00
2015 01 09 02 50 999 99.0 99.0  3.63 10.00  7.35 999 1005.0 999.0   6.6 999.0 99.0 99.00
