#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2013 01 04 05 50 243  4.8  6.1  4.04 10.00  8.14 999 1001.4   3.7   4.6 999.0 99.0 99.00
2013 01 04 06 50 254  4.1  5.6  3.63 10.81  7.82 999 1002.1   3.7   4.5 999.0 99.0 99.00
2013 01 04 07 50 210  4.4  6.2  3.56 10.00  8.07 999 1003.0   3.8   4.5 999.0 99.0 99.00
2013 01 04 08 50 220  3.9  5.3  3.88 10.81  8.29 999 1003.9   3.6   4.5 999.0 99.0 99.00
2013 01 04 09 50 197  3.4  5.0  3.81 10.81  8.27 999 1004.5   3.7   4.5 999.0 99.0 99.00
2013 01 04 10 50 185  2.3  3.8  4.19 10.00  8.39 999 1004.6   3.7   4.5 999.0 99.0 99.00
2013 01 04 11 50 178  2.1  3.3  3.91 10.81  8.41 999 1005.1   3.6   4.5 999.0 99.0 99.00
2013 01 04 12 50 167  1.8  2.9  3.86 10.81  8.28 999 1005.5   3.6   4.5 999.0 99.0 99.00
2013 01 04 13 50 142  2.3  3.4  3.50 10.00  8.16 999 1005.9   3.5   4.5 999.0 99.0 99.00
2013 01 04 14 50 114  3.4  5.0  3.50 10.00  8.46 999 1006.2   3.5   4.5 999.0 99.0 99.00
2013 01 04 15 50 123  4.5  6.0  3.24 10.00  7.96 999 1006.8   3.5   4.5 999.0 99.0 99.00
2013 01 04 16 50 113  4.5  6.1  3.12 10.00  7.84 999 1006.8   3.5   4.5 999.0 99.0 99.00
2013 01 04 17 50 108  3.1  4.6  3.13 10.00  7.99 999 1007.4   3.4   4.5 999.0 99.0 99.00
2013 01 04 18 50  87  4.1  5.5  2.92 12.90  7.84 999 1007.9   3.6   4.5 999.0 99.0 99.00
2013 01 04 19 50  77  3.6  5.0  2.96 12.90  7.96 999 1008.5   3.8   4.5 999.0 99.0 99.00
2013 01 04 20 50 108  5.4  6.5  3.04 10.00  7.66 999 1008.0   3.9   4.5 999.0 99.0 99.00
2013 01 04 21 50  94  5.6  7.5  3.21 12.90  8.01 999 1007.7   3.8   4.4 999.0 99.0 99.00
2013 01 04 22 50  72  5.6  7.1  2.94 12.12  7.86 999 1006.9   4.0   4.4 999.0 99.0 99.00
2013 01 04 23 50  68  7.6 10.0  2.89 12.90  7.77 999 1005.7   4.1   4.4 999.0 99.0 99.00
2013 01 05 00 50  46  8.4 10.1  2.79 12.12  7.34 999 1004.4   4.3   4.4 999.0 99.0 99.00
2013 01 05 01 50  80  9.4 11.6  2.52 10.00  6.58 999 1005.0   4.3   4.4 999.0 99.0 99.00
2013 01 05 02 50  78  9.2 11.2  2.65 10.00  6.55 999 1004.6   4.2   4.4 999.0 99.0 99.00
2013 01 05 03 50  71  8.5 10.6  2.62  9.09  6.12 999 1003.7   4.2   4.4 999.0 99.0 99.00
2013 01 05 04 50  65  9.2 10.9  2.59 12.90  6.14 999 1003.0   4.3   4.4 999.0 99.0 99.00
2013 01 05 05 50  64  9.2 11.5  2.68  8.33  6.23 999 1001.9   4.2   4.4 999.0 99.0 99.00
2013 01 05 06 50  51  8.1 10.0  2.49 12.90  5.92 999 1001.0   4.3   4.4 999.0 99.0 99.00
2013 01 05 07 50  45  8.0  9.7  2.70 12.90  6.29 999 1000.2   4.4   4.4 999.0 99.0 99.00
2013 01 05 08 50  42  7.7  9.5  2.51  7.69  5.97 999  999.4   4.3   4.4 999.0 99.0 99.00
2013 01 05 09 50  57  8.8 10.6  2.72  9.09  6.19 999  997.9   4.3   4.5 999.0 99.0 99.00
2013 01 05 10 50  60  5.3  7.1  2.94 10.00  6.61 999  997.5   4.2   4.6 999.0 99.0 99.00
2013 01 05 11 50  85  3.9  5.8  3.50 10.00  7.33 999  997.2   4.1   4.7 999.0 99.0 99.00
2013 01 05 12 50 151  4.7  6.5  3.65 10.00  7.45 999  996.7   3.8   4.7 999.0 99.0 99.00
2013 01 05 13 50 146  4.6  6.1  3.57 10.00  7.74 999  996.3   3.7   4.7 999.0 99.0 99.00
2013 01 05 14 50 155  5.8  7.0 99.00 99.00 99.00 999  995.9   3.2   4.7 999.0 99.0 99.00
2013 01 05 15 50 151  5.8  6.8  3.44 10.00  7.66 999  995.6   2.9   4.7 999.0 99.0 99.00
2013 01 05 16 50 146  5.8  6.8  3.29  9.09  7.74 999  994.8   2.9   4.6 999.0 99.0 99.00
2013 01 05 17 50 177  5.3  7.0  2.83 10.00  7.33 999  994.7   3.1   4.6 999.0 99.0 99.00
