@relation Station_46001_2018_03_05_13_56_1.arff

@attribute air numeric
@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute Class_WDIR {A}

@data
277.948108,102123.709738,4.007433,2.299835,A
277.702902,102279.422465,2.815342,-2.744138,A
276.978192,102713.811909,3.802332,-3.9399,A
277.463014,103092.152129,4.535877,-0.94173,A
277.085397,102993.585063,0.981614,3.274294,A
277.035702,102537.192441,-1.331348,2.840047,A
276.714382,101809.088006,-2.927273,1.697101,A
277.458689,101096.709961,2.146172,-2.763278,A
276.82628,100692.13088,2.188161,-5.751109,A
275.96371,100806.575904,7.71771,-5.808418,A
274.060185,101175.844317,10.188477,-1.243819,A
272.979052,101489.446536,12.836871,-1.52266,A
272.863385,101792.885419,7.2987,-0.241507,A
273.798595,102116.11934,5.604519,0.376761,A
274.513622,102167.828032,-2.676119,2.292919,A
276.083392,101994.037422,-7.884127,2.748865,A
277.53191,101724.644576,-11.177082,2.649622,A
277.498192,101508.096881,-12.9559,2.423488,A
277.758074,101263.591467,-12.025194,3.720119,A
278.101009,101049.164929,-9.132838,4.506521,A
277.676919,100984.008648,-0.699248,7.061295,A
277.982313,101227.337881,-0.090067,1.904114,A
277.418642,101099.91709,0.582016,1.227705,A
277.129134,101114.833644,-0.877623,-0.751109,A
276.749056,101039.504731,-5.551484,-1.462224,A
277.976527,100728.13929,-9.516738,-1.980073,A
278.342359,100210.716653,-9.205247,-0.805881,A
278.159179,99821.534461,-7.314222,0.916674,A
278.479611,99731.256373,-7.507917,2.447631,A
278.391606,99467.491495,-7.189865,-0.49961,A
277.932254,99336.726697,-6.392698,-1.216144,A
278.015328,99114.878149,-4.519852,-2.45094,A
277.864515,98956.615143,-1.51587,-3.342609,A
278.047581,98759.534937,1.463895,-0.777868,A
278.225996,98805.664246,2.705721,2.997333,A
277.500478,98876.873153,3.320052,5.545105,A
277.022023,99179.8673,-0.397427,8.301098,A
277.14197,99541.791804,-4.044274,4.924485,A
277.582733,99689.297199,-6.145628,-0.907091,A
277.905247,99642.544059,-6.367874,-5.305016,A
278.186879,99818.816865,-3.854787,-4.28691,A
277.696831,100108.91179,1.358873,-4.870716,A
277.639832,100403.130702,6.584676,-1.052362,A
276.976005,100570.066242,12.410658,1.711571,A
275.657542,100756.372645,13.562046,-0.960603,A
275.083474,100905.933251,13.305919,-1.285381,A
274.118416,101070.878058,13.716115,-1.714875,A
274.216862,101269.065494,12.349624,-3.953469,A
273.751798,101564.986921,8.4848,-3.685185,A
274.556323,101797.312933,8.392705,-2.713177,A
273.521465,101801.414067,5.840186,-2.253868,A
272.406228,101862.018834,3.908794,-4.804598,A
271.447499,101863.764727,-1.026385,-4.426109,A
270.754357,101772.561645,-2.118662,-5.019276,A
272.436258,101529.833875,-8.985911,-0.199277,A
275.625922,100910.436555,-12.63632,4.937259,A
278.390419,100121.727702,-5.186968,7.148829,A
277.946059,100164.176458,4.182842,6.87304,A
278.375765,100716.036282,5.537338,4.638442,A
278.39328,101007.613196,1.544571,5.712562,A
277.871418,101077.55037,-1.149729,8.341249,A
277.90476,100973.565264,-4.499236,9.080385,A
278.246802,100823.740861,-2.030656,9.12583,A
278.236363,100864.65398,0.810342,6.128701,A
277.961545,101082.576933,5.391771,4.262435,A
277.669935,101255.544913,3.719438,2.876838,A
277.851433,101420.373644,0.076098,2.12321,A
277.368104,101335.402621,-6.920303,1.212828,A
277.819712,100922.48161,-11.494396,-1.143607,A
278.526015,100622.655062,-11.064263,0.681604,A
278.65534,100573.429398,-6.936877,3.658731,A
278.385765,100472.850256,-5.439154,2.707279,A
277.723788,100370.693464,-2.442647,4.731101,A
277.716933,100390.330859,-1.919807,4.907488,A
277.623781,100132.141171,-4.704264,5.430649,A
278.266789,99546.889916,-8.222881,7.73293,A
277.859719,99197.454683,2.964212,9.014423,A
277.754283,99613.980059,8.123768,10.334701,A
277.73225,99876.203415,6.368377,9.488031,A
277.775546,100180.226891,5.288179,9.482781,A
277.773681,100316.632644,1.924931,11.438675,A
277.508247,100517.902048,0.382137,11.409554,A
277.326824,100507.5375,-3.110728,5.391569,A
277.974226,100520.218589,-8.411635,-0.070918,A
277.978566,100369.007536,-8.035926,-1.673544,A
277.897601,100220.89513,-5.326652,-5.824861,A
277.954522,100038.13444,-4.238567,-6.957609,A
277.210224,100036.913328,-1.063586,-7.857694,A
278.198744,100220.423116,1.250088,-8.079981,A
277.912456,100474.749049,3.814413,-3.37466,A
276.258033,100765.256226,9.203401,-0.499757,A
274.56208,100944.765283,11.21582,0.210398,A
274.813045,100961.386539,5.855946,2.313553,A
276.367609,100607.426564,-1.377879,9.626394,A
277.944049,99954.906057,1.689003,12.937534,A
278.041207,99909.064132,6.623782,7.770926,A
277.510292,100181.772789,6.490883,4.597778,A
277.443905,100606.590293,8.002918,3.746817,A
277.100888,101177.447581,3.744753,4.945077,A
277.409573,101176.175982,-4.169793,7.098742,A
277.673924,100502.195242,-9.715098,8.123169,A
278.367888,99894.691799,-4.827779,11.236866,A
278.278333,99664.911534,-3.651463,14.169565,A
278.090658,99198.37902,-4.366334,17.262033,A
277.457211,99110.628806,7.912091,16.596038,A
276.518033,99879.069438,11.624109,12.869133,A
276.470592,100447.152024,5.803127,11.07765,A
277.489153,100216.833866,3.200973,10.260642,A
276.967545,100636.541623,12.929148,1.903192,A
275.030672,101185.000826,10.422632,0.466832,A
274.651898,101413.15136,5.62508,0.764638,A
275.478422,101422.824738,2.578399,2.784562,A
276.262959,101289.709172,0.388149,5.057597,A
276.811486,101327.330635,1.504372,8.153084,A
276.822042,101192.629449,3.495048,9.519203,A
277.293292,101261.819479,7.100806,8.302619,A
276.827197,101460.686325,6.443761,8.21233,A
276.624474,101498.458039,-1.003972,7.518867,A
277.144825,100985.512272,-9.592838,7.489947,A
277.737512,100581.140202,0.104397,9.797681,A
277.337479,100499.418958,-0.721242,6.96781,A
277.823792,99795.34538,-7.448497,7.97921,A
277.240094,99115.546856,5.502526,13.845296,A
278.02421,99932.913336,10.898437,9.716097,A
277.621959,100526.650055,4.831652,5.264202,A
277.54503,100705.518805,5.709032,3.265791,A
276.253114,101205.738406,9.761456,0.479927,A
276.641381,101721.614419,9.944359,-3.710403,A
274.919081,102221.83776,11.026903,-2.147794,A
274.373958,102496.795254,9.375914,1.468051,A
274.919169,102389.630722,4.659302,5.390531,A
276.425306,101777.947113,-2.605095,11.39909,A
277.702501,100816.896015,-0.818371,12.424838,A
278.16005,100426.862853,5.519994,4.429779,A
277.977203,100535.223983,7.240487,4.071396,A
276.943331,100410.785627,11.349198,-0.340618,A
274.533573,100721.802028,13.287987,-8.11385,A
274.312189,101358.114556,11.653376,-4.477043,A
274.576873,101442.440382,10.879487,-3.157643,A
275.528778,101285.660883,1.062889,1.758959,A
275.404958,100968.347412,0.033137,4.782889,A
277.360297,100330.685,-3.481199,8.156017,A
277.446444,99372.317359,3.439181,9.4845,A
277.042525,98906.618161,8.244141,10.591076,A
276.454948,98960.571516,12.974165,7.395373,A
275.899703,98457.328248,4.122669,7.817411,A
276.433671,98821.006154,10.530766,-3.000569,A
275.83523,99543.17145,14.221495,-0.386111,A
275.248219,99601.006715,7.11472,1.35527,A
275.550279,99055.67211,0.616082,2.103978,A
275.255973,98555.71073,0.1967,-0.935343,A
275.52838,99064.744826,9.950097,-8.73018,A
275.057496,99942.677452,14.524158,-6.66228,A
