@relation Station_46001_2018_07_09_09_59_1.arff

@attribute pres numeric
@attribute Class_WDIR {A}

@data
101498.458039,A
100985.512272,A
100581.140202,A
100499.418958,A
99795.34538,A
99115.546856,A
99932.913336,A
100526.650055,A
100705.518805,A
101205.738406,A
101721.614419,A
102221.83776,A
102496.795254,A
102389.630722,A
101777.947113,A
100816.896015,A
100426.862853,A
100535.223983,A
100410.785627,A
100721.802028,A
101131.436059,A
101358.114556,A
101442.440382,A
101285.660883,A
100968.347412,A
100330.685,A
99372.317359,A
98906.618161,A
98960.571516,A
98457.328248,A
98821.006154,A
99543.17145,A
99601.006715,A
99055.67211,A
98555.71073,A
99064.744826,A
99942.677452,A
100388.896864,A
100667.142159,A
100227.251943,A
99528.003593,A
99818.157054,A
99932.160933,A
100133.910131,A
100057.176914,A
99715.849466,A
100089.857734,A
100724.181908,A
100771.561343,A
100008.968257,A
98944.872968,A
98411.800053,A
98569.72293,A
98818.721661,A
98971.436493,A
98893.966781,A
98826.52251,A
99174.175589,A
99430.044008,A
99382.886346,A
99402.54465,A
99402.936427,A
99658.13963,A
100138.695293,A
100562.448411,A
100969.412648,A
101352.473852,A
101646.586262,A
101783.595855,A
101865.262187,A
101765.478617,A
101485.144158,A
101311.807639,A
101482.613001,A
102014.309113,A
102460.92289,A
102900.540003,A
103163.883141,A
103217.924512,A
103098.558993,A
102944.50279,A
102643.87001,A
102472.633333,A
102161.753917,A
102029.3041,A
101897.269897,A
101773.586657,A
101388.03483,A
100686.491946,A
99971.318455,A
100008.055277,A
100415.501635,A
100601.650393,A
100735.158036,A
101052.609168,A
101420.302462,A
101578.50099,A
101798.801504,A
102087.095826,A
102606.032359,A
102955.647085,A
103066.801246,A
102634.003113,A
102572.302537,A
102571.456476,A
102460.464974,A
102397.545181,A
102270.63488,A
102045.07397,A
101868.176114,A
101752.427162,A
101610.384253,A
101489.497736,A
101288.823282,A
101033.944798,A
100842.016747,A
100732.870538,A
100769.609773,A
100745.594027,A
100742.853619,A
100818.646574,A
100835.741661,A
101062.014468,A
101402.84472,A
101630.186578,A
101821.134945,A
102031.625888,A
102269.107119,A
102501.598611,A
102647.41982,A
102612.574305,A
102503.474485,A
102220.387173,A
101914.255092,A
101734.624074,A
101547.927682,A
101481.043248,A
101371.882448,A
101363.728367,A
101354.344469,A
101382.911778,A
101443.795909,A
101835.547493,A
102080.297697,A
102378.628486,A
102653.929338,A
102949.554726,A
102815.386293,A
102589.285721,A
102128.237086,A
101925.337574,A
101681.541428,A
101558.188174,A
101499.784201,A
101411.954898,A
101098.671706,A
100735.962807,A
100475.922351,A
100302.041503,A
100423.069722,A
100634.493515,A
101010.572936,A
101349.426603,A
101653.817158,A
101883.81594,A
102135.101045,A
102413.143282,A
102471.970599,A
102465.140284,A
102577.778386,A
102574.695547,A
102456.97687,A
102279.504587,A
101974.622113,A
101611.476207,A
101316.223648,A
101311.017131,A
101363.06004,A
101468.803349,A
101888.455518,A
102270.826701,A
102650.71423,A
102831.781929,A
102891.111707,A
102828.90381,A
102735.874849,A
102605.225779,A
102360.96014,A
102287.364724,A
102258.113821,A
102334.295549,A
102452.581407,A
102520.148508,A
102561.256906,A
102585.703726,A
102487.938417,A
102427.243198,A
102328.816614,A
102273.263434,A
102048.709485,A
101804.587828,A
101394.808597,A
100964.364488,A
100403.02876,A
100251.504747,A
100074.550734,A
100092.055744,A
100062.960399,A
100025.689579,A
100079.286214,A
100342.709396,A
100649.069049,A
100999.638075,A
101267.304469,A
101215.721756,A
100735.711107,A
100271.347838,A
100005.911952,A
99761.586794,A
