@relation p1_1.arff

@attribute air numeric
@attribute Class_WDIR {A}

@data
282.085014,A
281.456953,A
281.137237,A
281.712516,A
281.963601,A
281.338879,A
280.766402,A
281.564182,A
281.516943,A
281.989415,A
281.63945,A
282.061398,A
282.484413,A
282.186086,A
282.140563,A
281.462506,A
282.309155,A
281.332223,A
281.509748,A
281.504749,A
282.081149,A
281.461411,A
282.240569,A
282.617506,A
282.841123,A
281.964169,A
282.163084,A
282.16086,A
282.0153,A
281.716973,A
282.068082,A
281.78836,A
282.291128,A
281.936685,A
281.686133,A
282.186698,A
282.860854,A
282.738318,A
282.261956,A
282.937228,A
283.490559,A
282.985565,A
282.458629,A
283.058631,A
282.985008,A
282.360847,A
281.961966,A
281.488907,A
282.266956,A
281.967505,A
281.514734,A
281.987799,A
282.913613,A
283.014166,A
282.764742,A
282.763614,A
282.943348,A
282.713059,A
282.485573,A
282.563075,A
282.466958,A
282.293914,A
282.492806,A
282.463064,A
282.817519,A
282.488922,A
281.76198,A
282.037258,A
282.339476,A
282.018639,A
281.988925,A
282.31364,A
282.870301,A
282.422532,A
282.191138,A
282.340026,A
282.66916,A
282.644999,A
282.263627,A
283.014192,A
283.291117,A
283.118626,A
282.715296,A
283.089457,A
282.969741,A
282.444463,A
282.617522,A
283.037252,A
282.888353,A
282.386698,A
281.831143,A
282.338345,A
282.520865,A
283.019183,A
282.863648,A
282.861967,A
283.315853,A
283.015282,A
282.863633,A
283.166952,A
282.837243,A
282.76585,A
282.764744,A
282.666947,A
282.750568,A
283.278059,A
283.692248,A
282.964753,A
283.635001,A
283.163623,A
283.211963,A
282.834471,A
283.08334,A
282.811389,A
282.014182,A
281.991112,A
281.692209,A
282.071947,A
281.712511,A
281.988902,A
281.913044,A
283.386634,A
283.960271,A
283.189456,A
283.534998,A
283.032787,A
282.763627,A
282.288897,A
283.146113,A
282.997792,A
283.263614,A
282.841142,A
283.219737,A
282.992236,A
282.639474,A
282.487797,A
283.034469,A
282.937217,A
282.760303,A
282.363635,A
283.614741,A
283.140024,A
282.715852,A
282.438346,A
282.640006,A
282.714698,A
282.036671,A
282.961953,A
283.536098,A
282.911387,A
282.883367,A
282.383357,A
282.311394,A
282.861941,A
282.685566,A
283.112517,A
284.10971,A
284.509167,A
283.817498,A
283.513629,A
283.438894,A
283.68947,A
283.764193,A
283.364191,A
283.842234,A
283.515303,A
283.264745,A
283.615306,A
283.915278,A
284.120284,A
283.818073,A
284.216407,A
284.268079,A
283.943363,A
283.56419,A
284.716404,A
285.087242,A
284.4114,A
284.337807,A
283.98723,A
284.334453,A
283.660831,A
284.063632,A
283.965855,A
284.34001,A
284.612507,A
283.762522,A
283.513077,A
283.319745,A
283.623613,A
283.470854,A
284.117537,A
283.817517,A
283.918625,A
283.891126,A
284.270294,A
283.946101,A
283.923067,A
283.891137,A
284.016413,A
284.118612,A
284.143342,A
283.31474,A
283.914181,A
284.287795,A
284.013643,A
283.433909,A
283.240575,A
283.268632,A
283.721418,A
283.742262,A
284.442263,A
283.750561,A
284.348904,A
283.966981,A
284.791691,A
283.99168,A
284.417522,A
284.365851,A
284.73947,A
283.79391,A
284.691698,A
284.518636,A
284.73892,A
284.370854,A
284.970851,A
284.942249,A
284.819195,A
284.470294,A
284.766973,A
284.338918,A
284.341142,A
284.492238,A
284.517513,A
284.69224,A
284.716405,A
284.591698,A
284.717531,A
284.413089,A
284.237817,A
284.539468,A
284.560301,A
284.366972,A
283.965302,A
284.841155,A
284.340586,A
284.765315,A
284.867509,A
285.040013,A
285.26308,A
285.06252,A
284.48726,A
284.564746,A
284.639471,A
284.53947,A
284.74003,A
285.491125,A
285.038355,A
284.663639,A
284.51309,A
284.419183,A
284.365296,A
284.313624,A
285.042807,A
284.766414,A
284.48946,A
284.761977,A
285.191135,A
285.518066,A
285.363633,A
284.866419,A
284.865854,A
285.415294,A
284.88946,A
285.164175,A
284.787241,A
285.808042,A
284.983894,A
285.288362,A
285.387801,A
286.059733,A
286.434457,A
286.060869,A
285.365859,A
285.940004,A
285.437793,A
285.113103,A
285.03561,A
284.861415,A
284.390013,A
285.390021,A
285.041141,A
285.143363,A
285.391147,A
284.944477,A
284.768089,A
284.691693,A
284.216415,A
284.116422,A
284.066419,A
284.519171,A
284.445013,A
284.970307,A
285.016968,A
285.423624,A
285.643923,A
285.316416,A
285.119213,A
285.096693,A
284.918633,A
284.543372,A
284.720288,A
285.47417,A
286.315863,A
285.866977,A
284.868643,A
284.920299,A
284.018079,A
284.293364,A
283.816959,A
284.770292,A
283.893355,A
283.047256,A
283.092266,A
283.3714,A
283.518628,A
282.641695,A
282.493906,A
283.123077,A
283.890576,A
284.263095,A
284.140587,A
284.139472,A
284.335032,A
283.460326,A
283.660868,A
283.668635,A
283.769181,A
284.418072,A
284.54448,A
284.571416,A
283.764214,A
283.664757,A
283.667527,A
283.695016,A
283.7417,A
283.741135,A
284.141708,A
284.041699,A
283.514206,A
283.640592,A
283.792806,A
284.067527,A
284.141134,A
284.315856,A
284.018076,A
284.422503,A
285.6203,A
285.866983,A
284.069219,A
283.792257,A
283.566955,A
283.391139,A
282.987815,A
283.536137,A
283.941684,A
284.342788,A
284.068616,A
284.722523,A
284.920859,A
285.521415,A
285.893908,A
285.992262,A
285.221973,A
285.374208,A
284.795038,A
284.619207,A
283.995043,A
284.04727,A
284.498381,A
285.197248,A
284.798912,A
284.571987,A
284.468655,A
284.315883,A
283.693369,A
283.41808,A
283.895028,A
283.539468,A
283.015874,A
282.666985,A
281.986699,A
282.274194,A
283.428629,A
283.719757,A
283.186691,A
282.866418,A
282.773073,A
283.066967,A
283.120283,A
282.16696,A
283.171414,A
282.23837,A
283.21807,A
283.467513,A
282.741146,A
282.166425,A
281.342828,A
280.846705,A
280.321989,A
280.151143,A
280.22087,A
280.919741,A
279.94504,A
280.065877,A
280.29006,A
280.621967,A
280.594467,A
280.543364,A
281.563634,A
281.863635,A
281.761969,A
281.886697,A
282.429737,A
282.319764,A
282.468628,A
283.02307,A
283.721967,A
283.694477,A
283.742257,A
283.588926,A
283.787808,A
283.218641,A
283.293375,A
283.416965,A
283.366423,A
282.866988,A
283.043382,A
282.520313,A
282.845038,A
282.742793,A
283.013081,A
282.140576,A
282.716955,A
281.345575,A
281.543364,A
281.345035,A
281.548904,A
281.372532,A
280.819742,A
280.615859,A
281.674737,A
281.169195,A
281.817531,A
280.9417,A
281.273625,A
282.019749,A
282.318097,A
282.218657,A
282.395584,A
282.66587,A
282.960316,A
282.761419,A
282.366966,A
282.611977,A
282.211981,A
282.0142,A
282.292241,A
282.213079,A
281.456428,A
280.428385,A
280.00976,A
279.162531,A
279.392797,A
279.144495,A
278.793391,A
278.289513,A
277.069226,A
276.873105,A
276.830307,A
275.974189,A
276.820319,A
276.989503,A
277.692274,A
277.637829,A
277.564766,A
277.538941,A
278.065314,A
277.886159,A
278.011445,A
278.236733,A
278.460327,A
278.760351,A
279.084524,A
278.73396,A
279.312004,A
279.059228,A
279.183941,A
278.862546,A
279.415304,A
278.364191,A
278.438387,A
278.865877,A
278.691716,A
278.564211,A
278.586168,A
278.565907,A
279.266447,A
279.239504,A
280.086739,A
279.765892,A
280.587271,A
280.288381,A
279.783402,A
279.908645,A
280.440574,A
280.067511,A
279.692255,A
279.568639,A
279.009747,A
279.433385,A
278.961437,A
279.441701,A
279.365879,A
278.817531,A
279.187814,A
279.338357,A
279.384487,A
279.227263,A
279.056998,A
279.110325,A
278.964763,A
278.716983,A
276.975914,A
275.572016,A
275.341194,A
274.96701,A
274.691188,A
274.615339,A
274.532288,A
274.936739,A
279.141711,A
280.764758,A
280.791704,A
280.859207,A
279.959755,A
279.614731,A
279.364749,A
279.786147,A
279.936141,A
279.860315,A
279.556983,A
279.709221,A
280.035045,A
279.660892,A
278.912017,A
278.113144,A
277.312578,A
277.036755,A
275.954802,A
276.502565,A
277.251457,A
278.707013,A
278.43452,A
277.836192,A
278.107007,A
277.356991,A
278.110301,A
279.342235,A
280.215299,A
280.385589,A
280.358093,A
280.310869,A
280.163086,A
280.235588,A
280.61308,A
280.259751,A
280.013098,A
280.010882,A
279.706422,A
279.833376,A
279.633932,A
279.863083,A
280.236161,A
279.814779,A
280.084497,A
279.26033,A
278.932283,A
278.935032,A
279.765289,A
280.442807,A
279.561999,A
278.83726,A
279.568621,A
279.26254,A
279.060877,A
278.888929,A
279.290041,A
278.835051,A
279.476735,A
280.535631,A
279.511469,A
277.862036,A
276.781763,A
275.955926,A
276.431759,A
276.084531,A
276.157595,A
275.882878,A
276.322316,A
276.773404,A
276.970624,A
277.50089,A
278.27729,A
278.659252,A
279.031758,A
279.010369,A
279.380081,A
278.954775,A
278.97283,A
278.776173,A
278.950335,A
279.383947,A
279.633382,A
279.285597,A
278.610325,A
279.764786,A
279.8873,A
279.86203,A
279.605913,A
279.19925,A
278.393136,A
276.590917,A
277.03061,A
277.617529,A
278.265323,A
278.915335,A
279.33339,A
279.229496,A
279.14589,A
279.201438,A
279.532823,A
279.338373,A
279.513655,A
279.290025,A
279.38504,A
279.36032,A
279.558675,A
280.286712,A
280.732275,A
280.090615,A
279.615337,A
278.869224,A
279.020904,A
278.19454,A
279.485639,A
279.192284,A
278.675895,A
277.248405,A
276.663673,A
276.16368,A
276.411454,A
276.237274,A
276.334495,A
276.412007,A
276.287828,A
275.718122,A
275.185656,A
275.231752,A
276.830642,A
276.263131,A
276.108147,A
275.730671,A
275.575688,A
274.647604,A
274.270099,A
274.270641,A
273.797566,A
273.949783,A
274.027832,A
275.680601,A
275.955332,A
275.854792,A
275.398138,A
274.755361,A
275.644493,A
277.274758,A
278.393918,A
279.428068,A
279.619745,A
279.2406,A
278.616424,A
279.317519,A
279.016971,A
278.81864,A
278.295035,A
277.862536,A
278.115327,A
277.61423,A
277.312003,A
276.990058,A
278.373069,A
278.943886,A
279.390016,A
278.642813,A
279.613638,A
278.891687,A
278.589471,A
278.511434,A
278.765328,A
277.838926,A
277.193937,A
277.089495,A
276.537822,A
276.612543,A
276.506996,A
275.587287,A
273.641734,A
271.867585,A
272.089505,A
273.015896,A
273.741716,A
273.541713,A
274.387823,A
274.536146,A
274.938389,A
275.314171,A
276.715299,A
276.417517,A
277.193366,A
276.063707,A
275.63568,A
276.535671,A
276.438451,A
275.266506,A
274.287887,A
273.939546,A
275.237891,A
275.040637,A
275.091185,A
274.443945,A
275.242838,A
274.621997,A
274.690613,A
274.515887,A
275.254225,A
274.579495,A
273.7295,A
274.930044,A
274.80978,A
275.510877,A
275.458111,A
275.862561,A
275.015906,A
274.159243,A
274.1373,A
274.140081,A
274.94892,A
275.670874,A
277.442262,A
278.098358,A
278.621416,A
278.291699,A
278.313077,A
277.786136,A
277.186688,A
277.732257,A
277.783923,A
277.643902,A
277.888903,A
278.538925,A
