@relation Station_46001_2018_02_23_10_23_45_1.arff

@attribute air numeric
@attribute Class_WDIR {A}

@data
279.801638,A
279.910052,A
279.71244,A
279.933403,A
280.149479,A
279.88553,A
279.913047,A
280.337772,A
281.463801,A
280.85011,A
280.081421,A
280.45767,A
280.79861,A
280.501896,A
281.00255,A
281.350725,A
280.59532,A
280.497158,A
280.649226,A
280.783971,A
280.5084,A
280.271432,A
281.327001,A
281.479667,A
281.344138,A
280.668062,A
281.411797,A
281.6659,A
281.563228,A
281.284442,A
281.207838,A
281.654879,A
281.15762,A
280.937759,A
281.021041,A
280.972384,A
280.649813,A
280.652845,A
280.7362,A
281.459765,A
280.998056,A
281.082974,A
281.253186,A
281.175099,A
281.07575,A
280.542084,A
281.698723,A
281.414846,A
280.857336,A
281.23465,A
281.398388,A
281.24382,A
280.867851,A
281.322026,A
281.474854,A
281.191581,A
281.106302,A
281.188777,A
281.094751,A
281.559548,A
281.351438,A
281.659218,A
282.258709,A
282.018751,A
282.719599,A
282.676295,A
284.267257,A
282.90387,A
282.967432,A
282.565222,A
282.117617,A
281.508999,A
281.232027,A
281.769872,A
281.960934,A
281.318802,A
280.802293,A
281.599763,A
281.500277,A
281.95241,A
281.657621,A
282.086244,A
282.432973,A
282.156931,A
282.160585,A
281.489203,A
282.295224,A
281.375844,A
281.596493,A
281.602754,A
282.165878,A
281.536465,A
282.285105,A
282.632388,A
282.854855,A
281.997542,A
282.240322,A
282.239994,A
282.076692,A
281.778341,A
282.14746,A
281.883344,A
282.328821,A
281.965324,A
281.770717,A
282.251594,A
282.90988,A
282.743524,A
282.323946,A
282.993,A
283.500018,A
283.025201,A
282.557475,A
283.139661,A
283.038814,A
282.431076,A
282.059662,A
281.544103,A
282.288755,A
281.979628,A
281.571301,A
282.033342,A
282.912599,A
283.011282,A
282.821859,A
282.816673,A
282.961883,A
282.775242,A
282.594336,A
282.632512,A
282.504365,A
282.350146,A
282.5706,A
282.541407,A
282.897113,A
282.588733,A
281.889787,A
282.158845,A
282.413452,A
282.108991,A
282.119947,A
282.411864,A
282.922164,A
282.466353,A
282.295751,A
282.419931,A
282.673455,A
282.652321,A
282.355703,A
283.087134,A
283.322112,A
283.136464,A
282.778897,A
283.136082,A
282.995575,A
282.498271,A
282.677017,A
283.122031,A
282.945424,A
282.481707,A
281.952054,A
282.404874,A
282.571407,A
283.05635,A
282.955727,A
282.937356,A
283.35866,A
283.046563,A
282.933403,A
283.219966,A
282.881898,A
282.807004,A
282.829664,A
282.704353,A
282.762646,A
283.254673,A
283.769705,A
283.077674,A
283.669259,A
283.193274,A
283.303511,A
282.910725,A
283.125975,A
282.851289,A
282.081527,A
282.036609,A
281.679336,A
282.049063,A
281.755366,A
282.02849,A
281.875991,A
283.326601,A
283.987683,A
283.233874,A
283.553648,A
283.067836,A
282.808882,A
282.350793,A
283.130769,A
282.998583,A
283.316673,A
282.90729,A
283.271817,A
283.067485,A
282.722358,A
282.546739,A
283.083997,A
282.961777,A
282.843517,A
282.416697,A
283.645688,A
283.203217,A
282.773164,A
282.488166,A
282.650784,A
282.693228,A
282.072008,A
283.020632,A
283.542096,A
282.950183,A
282.992923,A
282.484006,A
282.364692,A
282.862607,A
282.720712,A
283.148672,A
284.067109,A
284.52196,A
283.840185,A
283.565035,A
283.483528,A
283.770694,A
283.859993,A
283.43658,A
283.873422,A
283.58229,A
283.328564,A
283.675594,A
283.930953,A
284.131398,A
283.876803,A
284.27295,A
284.322942,A
284.009823,A
283.646591,A
284.766249,A
285.134657,A
284.489213,A
284.416221,A
284.044659,A
284.379492,A
283.70426,A
284.140104,A
284.032626,A
284.376408,A
284.663166,A
283.851645,A
283.598674,A
283.360634,A
283.633576,A
283.523053,A
284.198236,A
283.889309,A
283.96547,A
283.932134,A
284.325471,A
283.930757,A
283.925998,A
283.958941,A
284.078552,A
284.155444,A
284.157385,A
283.380212,A
283.972619,A
284.353435,A
284.078447,A
283.495323,A
283.294093,A
283.310507,A
283.789082,A
283.849276,A
284.519168,A
283.760432,A
284.397814,A
284.051209,A
284.872126,A
284.048703,A
284.468112,A
284.440426,A
284.814549,A
283.853527,A
284.764328,A
284.603394,A
284.830374,A
284.411937,A
285.015247,A
285.009068,A
284.878668,A
284.507655,A
284.819986,A
284.432579,A
284.430701,A
284.530677,A
284.568101,A
284.770802,A
284.78745,A
284.676624,A
284.803825,A
284.52769,A
284.335226,A
284.597838,A
284.62791,A
284.4445,A
284.04175,A
284.92291,A
284.411917,A
284.827259,A
284.910846,A
285.087601,A
285.332517,A
285.158344,A
284.623901,A
284.640858,A
284.714549,A
284.63126,A
284.828842,A
285.527716,A
285.117179,A
284.762415,A
284.613187,A
284.469749,A
284.419437,A
284.369444,A
285.111138,A
284.826895,A
284.579593,A
284.860778,A
285.267848,A
285.536671,A
285.432301,A
284.952518,A
284.969434,A
285.453275,A
284.936087,A
