@relation Station_46001_2018_02_23_10_23_1.arff

@attribute air numeric
@attribute WDIR numeric

@data
271.650353,234
271.957008,108
272.112018,223
272.259772,170
272.089487,172
273.691174,129
274.695595,131
275.210314,143
274.350904,262
274.248682,274
272.879533,280
272.60369,262
271.95701,263
271.633406,270
271.36477,276
271.063122,270
270.911999,268
271.4806,253
272.110312,234
272.558654,260
273.330611,249
272.905337,290
272.495606,245
272.363657,294
272.986162,236
273.513653,173
273.866972,101
274.142263,72
274.013671,9
273.666462,346
270.683431,253
270.353132,232
270.38229,245
271.062004,310
271.606468,7
272.653685,9
273.635635,348
272.493404,318
272.262022,259
272.462005,243
273.88836,207
274.348345,171
275.519168,170
275.961418,266
276.109754,268
275.81809,312
276.037825,345
275.557545,17
275.980601,8
275.615853,8
275.711412,88
274.905868,136
275.057534,128
275.595602,88
276.664189,103
276.429471,116
276.059197,128
276.340595,134
276.188383,105
276.485597,105
277.258081,84
276.811983,100
276.736694,100
276.560307,86
276.806986,65
276.839471,67
276.93504,75
276.653082,24
277.082808,34
277.137242,24
277.437233,9
276.608071,79
276.863623,55
276.465302,56
276.813067,59
276.061412,55
277.010308,56
276.889461,52
276.814755,32
276.535049,10
277.359212,358
276.514201,340
276.361417,327
276.034494,313
276.333945,318
275.838923,298
275.411962,268
275.910296,256
276.188898,191
277.366956,191
277.516407,175
276.811419,171
277.337797,162
276.913626,167
277.163083,173
276.56254,186
276.088953,264
276.267001,238
275.937815,219
275.316984,237
276.215877,242
276.493914,271
276.413633,327
275.862517,57
276.288923,124
275.914194,140
276.640573,120
276.187793,133
276.763626,128
276.592792,71
276.46917,138
276.213086,124
276.410313,122
276.5939,94
276.991143,84
277.309224,75
277.486696,95
277.288364,39
277.780037,351
277.763087,299
277.819734,264
277.168069,216
276.637255,197
277.138353,141
277.069179,121
277.416967,97
277.50864,92
277.963095,100
277.816421,119
277.790039,116
277.436683,125
277.415317,123
277.512537,117
277.565303,121
277.208643,131
277.686698,122
277.586148,115
277.238349,90
277.235581,104
277.538917,120
277.364196,103
277.739472,88
277.537802,81
277.865301,84
277.715308,84
277.912536,83
278.180026,75
278.230592,71
278.006959,68
278.22891,72
278.250317,57
278.082248,317
278.935569,281
278.487246,273
278.430036,261
278.212542,256
278.063075,244
277.88669,264
277.384467,240
277.656422,293
277.911411,279
